dataset,rows,paper_nested_f1,paper_best_existing_f1,rg_f1,rg_auc,rg_defect_f1,rg_recall,wins_vs_paper_best,wins_vs_paper_nested,rg_minus_paper_best_f1,rg_minus_paper_nested_f1,gpde_f1,gpde_auc,rg_minus_gpde_f1,rg_minus_gpde_auc
WPDP-PROMISE,370,0.8019486486486487,0.8052459459459459,0.7863823607693083,0.798371856313524,0.5447928998299431,0.5504091533037416,160,166,-0.0188635851766375,-0.0155662878793403,0.7836051761087488,0.801434585463722,0.0027771846605595396,-0.003062729150198007
WPDP-Kamei,60,0.82005,0.8196833333333333,0.8249731769844304,0.8264949347922147,0.5018226768091371,0.450623341426396,47,48,0.005289843651097,0.0049231769844304,0.8250052777608284,0.8258927459147136,-3.2100776398036324e-05,0.0006021888775010753
CPDP-Kamei,30,0.7073,0.6940000000000001,0.7532328920724397,0.7503907507671151,0.3095749804111741,0.3092002781679779,21,20,0.0592328920724396,0.0459328920724396,0.7515098601790468,0.7492410462353427,0.0017230318933929567,0.001149704531772433
CPDP-PROMISE6,6,0.7355166666666667,0.5276833333333334,0.7548122157776223,0.6506800823299962,0.3202981073827913,0.3106710533622078,5,5,0.2271288824442888,0.0192955491109555,0.7481891349021307,0.6796231790527507,0.0066230808754915715,-0.028943096722754524
